names,scores,logfoldchanges,pvals,pvals_adj,significant
Eph,10.700771,0.47956717,1.0093472968552602e-26,4.822844902064771e-25,False
Cipc,10.651771,0.5225074,1.7108020208320814e-26,8.086308832278255e-25,False
jeb,10.516102,0.47015265,7.282444900547242e-26,3.405385266661593e-24,False
hang,10.494653,0.5786659,9.141351313480146e-26,4.259480718408834e-24,False
CG43736,10.47143,0.4422807,1.1686443806772593e-25,5.426143873533282e-24,False
ReepA,10.467433,0.59466475,1.2190367246132984e-25,5.6401910427530775e-24,False
Sin3A,10.448445,0.4461975,1.4894739063901621e-25,6.86725864209359e-24,False
CG2924,10.443072,0.47847778,1.5762516809025593e-25,7.24193954092994e-24,False
BtbVII,10.4216,0.5582615,1.9759955538511992e-25,9.046892535750786e-24,False
Unc-115a,10.3200865,0.796827,5.7171489950381515e-25,2.6084492289861567e-23,False
CG14442,10.310612,0.49040902,6.309859319753449e-25,2.868911815278904e-23,False
pyd,10.304448,0.6047429,6.727677438333656e-25,3.039751641429211e-23,False
CG43759,10.304388,0.77940804,6.7318700734847835e-25,3.039751641429211e-23,False
Stat92E,10.277999,0.6159361,8.85468423537633e-25,3.984607905919348e-23,False
CG11768,10.2723,1.1511166,9.393848776575246e-25,4.212804536662073e-23,True
AstC-R2,10.249314,0.9150111,1.191856294111097e-24,5.326867926741433e-23,False
AMPdeam,10.194666,0.6957222,2.0946411434095523e-24,9.330028686237803e-23,False
lncRNA:CR40469,10.191537,0.7946921,2.163171421633482e-24,9.602727189278362e-23,False
milt,10.177469,0.45926252,2.4997767718564846e-24,1.1059618445183233e-22,False
lncRNA:CR43651,10.145293,0.6896885,3.477319757502586e-24,1.5332879736102008e-22,False
Usp7,10.100492,0.4368041,5.496624196950286e-24,2.4075213982642253e-22,False
Mkp3,10.081027,0.42732802,6.702189311482856e-24,2.925806230992848e-22,False
Syn,10.076127,0.43762228,7.044864242987616e-24,3.065215766650903e-22,False
CG45049,10.057052,0.42016754,8.552160090660724e-24,3.70875853436574e-22,False
CG17776,10.045364,0.9317006,9.629099855986393e-24,4.14919792490458e-22,False
CG3961,10.045345,0.95646185,9.630938866787647e-24,4.14919792490458e-22,False
B4,10.008838,0.5238629,1.393803674998307e-23,5.985156957345671e-22,False
tth,9.953607,0.6912899,2.4320549360234132e-23,1.0409512006302165e-21,False
heph,9.914215,0.45109332,3.610845755706628e-23,1.54047120876575e-21,False
psq,9.9006195,0.4108487,4.137036437476168e-23,1.7592446209850113e-21,False
Rip11,9.8960705,0.7821531,4.329541663811748e-23,1.8351670149189152e-21,False
Trf2,9.894434,0.42657045,4.4009266962600376e-23,1.859426906394112e-21,False
Ucp4A,9.784837,0.6867997,1.3080658577917761e-22,5.508969670315365e-21,False
5-HT1A,9.731815,0.54077196,2.2062047324055456e-22,9.232334453442316e-21,False
CG4612,9.713712,0.42404807,2.63560582688025e-22,1.0994241449271901e-20,False
sno,9.707889,0.41829705,2.7905663977173547e-22,1.1603810906963936e-20,False
eIF2beta,9.677947,0.5854631,3.7415506003846918e-22,1.5460369461966933e-20,False
Polr2K,9.6497345,1.0220507,4.92830925615287e-22,2.030030834666104e-20,True
cic,9.610436,0.41536954,7.224188657426303e-22,2.957191244815627e-20,False
CG46301,9.578697,0.65682125,9.82766930240017e-22,4.010421572470131e-20,False
hth,9.569777,0.41357878,1.0713703746684228e-21,4.358454093852345e-20,False
AnxB10,9.478198,0.7200706,2.587109560108662e-21,1.0459882959947021e-19,False
